source,target,value,diagram,sub
Lien,Commentaires,94,Principal,False
Lien,Partages,185,Principal,False
Lien,Réactions,418,Principal,False
Réactions,J'aime,281,Lien,True
Réactions,J'adore,42,Lien,True
Réactions,Haha,22,Lien,True
Réactions,Wouah,18,Lien,True
Réactions,Triste,26,Lien,True
Réactions,Grrr,26,Lien,True
Réactions,Solidaire,0,Lien,True
Photo,Commentaires,190,Principal,False
Photo,Partages,672,Principal,False
Photo,Réactions,1367,Principal,False
Réactions,J'aime,1008,Photo,True
Réactions,J'adore,180,Photo,True
Réactions,Haha,140,Photo,True
Réactions,Wouah,12,Photo,True
Réactions,Triste,16,Photo,True
Réactions,Grrr,6,Photo,True
Réactions,Solidaire,2,Photo,True
Status,Commentaires,159,Principal,False
Status,Partages,306,Principal,False
Status,Réactions,710,Principal,False
Réactions,J'aime,442,Status,True
Réactions,J'adore,146,Status,True
Réactions,Haha,80,Status,True
Réactions,Wouah,7,Status,True
Réactions,Triste,25,Status,True
Réactions,Grrr,5,Status,True
Réactions,Solidaire,2,Status,True
Vidéo,Commentaires,374,Principal,False
Vidéo,Partages,1510,Principal,False
Vidéo,Réactions,2610,Principal,False
Réactions,J'aime,1841,Vidéo,True
Réactions,J'adore,428,Vidéo,True
Réactions,Haha,228,Vidéo,True
Réactions,Wouah,62,Vidéo,True
Réactions,Triste,30,Vidéo,True
Réactions,Grrr,13,Vidéo,True
Réactions,Solidaire,6,Vidéo,True
Réactions,J'aime,3572,Principal,True
Réactions,J'adore,796,Principal,True
Réactions,Haha,470,Principal,True
Réactions,Wouah,99,Principal,True
Réactions,Triste,97,Principal,True
Réactions,Grrr,50,Principal,True
Réactions,Solidaire,10,Principal,True
